account.licenseNumber;account.name;listing.address.city;listing.address.country;listing.address.street;listing.title
normal;SOLON CORRETOR;São Paulo;BR;Alameda Fernão Cardim;METRÔ TRIANON 100 metros quadrados com 2 quartos
18591-J-SP;MORATTA VILA MARIANA;São Paulo;BR;Rua René Zamlutti;São Paulo - Apartamento Padrão - Chacara Klabin
84625-F-SP;Marcos Falcão Isikawa;Santos;BR;Avenida Governador Fernando Costa;Apartamento para aluguel e venda tem 85 metros quadrados com 2 quartos
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Rego Barros;São Paulo - Apartamento Padrão - Vila Formosa
138581-F-SP;HIT IMÓVEIS;São Paulo;BR;Rua Padre Jerônimo Vermin;São Paulo - Apartamento Padrão - Jardim Maria Estela
normal;Bernadete Ferreira de Oliveira Rosa;Ubatuba;BR;Rua Albatroz;Apartamento de 65 metros quadrados no bairro Praia Grande com 2 quartos
04253-J-MG;BIHAIN NEGOCIOS IMOBILIARIOS;Belo Horizonte;BR;Rua Sílvio de Oliveira Martins;Belo Horizonte - Apartamento Padrão - Buritis
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Santana de Parnaíba;BR;Avenida Universitário;Santana de Parnaíba - Apartamento Padrão - Alphaville
06322-J-SP;NADRUZ ASSESSORIA IMOBILIARIA S/C LTDA - ME;São José do Rio Preto;BR;normal;Apartamento 02 dorm. para Locação, Vila Diniz, MURCHID HONSI, PRÓXIMO AO HOSPITAL AUSTA, RODOBENS,
18548-J-SP;HOFFMAN IMOVEIS LTDA - EPP;São Caetano do Sul;BR;normal;Apartamento para locação - Barcelona, Sao Caetano do Sul
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Bernardo do Campo;BR;Rua João Éboli;São Bernardo do Campo - Apartamento Padrão - Planalto
63660-F-SP;LUPA ADMINISTRADORA E IMOBILIARIA S/S LTDA - EPP;São Paulo;BR;Avenida Marechal Eurico Gaspar Dutra;Apartamento para locação com 68 metros de área construída na Parada Inglesa!
22501-J-SP;CARLOS FERRARI IMÓVEIS;São Paulo;BR;Avenida Júlio Buono;São Paulo - Apartamento Padrão - Vila Gustavo
01554-J-MG;IMOBILIARIA VISAO LTDA - EPP;Uberaba;BR;normal;Uberaba - Apartamento Padrão - Jardim Alexandre Campos
35150-J-SP;Paulinho Imóveis Peruibe;Peruíbe;BR;normal;Apartamento duplex para locação na praia de Peruíbe
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Sapucaia;São Paulo - Apartamento Padrão - Mooca
03135-J-MG;Universal Imoveis;Belo Horizonte;BR;normal;Belo Horizonte - Apartamento Padrão - Castelo
10179-J-SP;PROVECTUM IMÓVEIS;Hortolândia;BR;Rua Venezuela;Hortolândia - Apartamento Padrão - Jardim Santa Clara do Lago Ii
10179-J-SP;PROVECTUM IMÓVEIS;Vinhedo;BR;normal;Vinhedo - Apartamento Padrão - Jardim Itália
27466-J-SP;ISF IMÓVEIS;Osasco;BR;Avenida Presidente Joao Goulart;Osasco - Apartamento Padrão - Umuarama
077071-F-RJ;Diogo Wolf Figueiredo;Rio de Janeiro;BR;Rua Marquês de São Vicente;Apartamento para aluguel a longo prazo na Marquês de São Vicente
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Avenida Zumkeller;São Paulo - Apartamento Padrão - Mandaqui
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Luís Correia de Melo;São Paulo - Apartamento Padrão - Chácara Santo Antonio
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Guarulhos;BR;Avenida Ítalo Brasileiro Piva;Guarulhos - Apartamento Padrão - Picanço
25847-J-SP;CASABELLA IMÓVEIS DIFERENCIADOS;Santos;BR;Rua Álvaro Alvim;Santos - Apartamento Padrão - Embaré
001630-J-RJ;REIS PRINCIPE ADMINISTRADORA;Rio de Janeiro;BR;Estrada dos Bandeirantes;Apartamento de 53 metros quadrados no bairro Camorim com 2 quartos
25369-J-SP;DF Casa Imoveis;São Paulo;BR;Rua Doutor NÍlton Silva;São Paulo - Apartamento Padrão - Cidade Patriarca
73248-F-RJ;Meta Macaé Imóveis;Macaé;BR;Rua Anfilófio Trindade;Macaé - Apartamento Padrão - Morada das Garças
05843-J-PR;MEU IMOVEL BARATO;Londrina;BR;normal;Londrina - Apartamento Padrão - Aurora
03327-J-MG;RIBEIRO E ARRABAL NEGÓCIOS IMOBILIÁRIOS LTDA;Juiz de Fora;BR;Rua Santos Dumont;Juiz de Fora - Apartamento Padrão - Granbery
25225-J-SP;Remax City Jundiaí;Jundiaí;BR;normal;Jundiaí - Apartamento Padrão - Distrito Industrial
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rodovia Raposo Tavares;São Paulo - Apartamento Padrão - Butantã
07530-J-RJ;BRL Administração de Imóveis LTDA;Rio de Janeiro;BR;Avenida Ataulfo de Paiva;Apartamento para aluguel possui 78 metros quadrados com 2 quartos em Leblon - Rio de Janeiro - RJ
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Florianópolis;BR;Rua Salvatina Feliciana dos Santos;Florianópolis - Apartamento Padrão - Itacorubi
03751-J-PR;Basi Assessoria Imobiliária;Curitiba;BR;Avenida Paraná;Apartamento com 1 quarto para alugar por 1350.00, 54.52 m2 - CABRAL - CURITIBA/PR
07500-J-RJ;MARIA HELENA IMOVEIS - ME;Niterói;BR;Rua Fagundes Varela;excelente 02 quartos,c om 1 vaga . Play Clube !!!!
74867-F-SP;ImobiData Consultoria Imobiliária;São Paulo;BR;Rua João Pais;SãO PAULO - Apartamento Padrão - Santo Amaro
74867-F-SP;ImobiData Consultoria Imobiliária;São Paulo;BR;Rua João Pais;SãO PAULO - Apartamento Padrão - Santo Amaro
normal;BRUNO SILVA DA SILVEIRA;Niterói;BR;Rua General Pereira da Silva;Niterói - Apartamento Padrão - Icaraí
normal;Villaggio Imóveis;São José do Rio Preto;BR;normal;Apartamento para alugar, 148 m² por 1.500,00/mês - Centro - São José do Rio Preto/SP
515030-F-RJ;ESPINDOLA IMOBILIÁRIA;Rio de Janeiro;BR;Rua Marquês de Queluz;Apartamento com 3 quartos em Irajá - Rio de Janeiro - RJ
00769-J-SP;ROSSI IMÓVEIS;São Paulo;BR;Avenida Vila Ema;São Paulo - Apartamento Padrão - Vila Ema
00037-J-SP;IMOBILIARIA DANELLI LTDA - EPP;Taubaté;BR;normal;Taubaté - Apartamento Padrão - Parque São Luís
05843-J-PR;MEU IMOVEL BARATO;Londrina;BR;normal;Londrina - Apartamento Padrão - Gleba Fazenda Palhano
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Alameda Barros;São Paulo - Apartamento Padrão - Santa Cecília
8236-J-RJ;TERRAZO IMOVEIS;Teresópolis;BR;Rua Tietê;Teresópolis - Apartamento Padrão - Alto
515030-F-RJ;ESPINDOLA IMOBILIÁRIA;Rio de Janeiro;BR;Rua São Francisco Xavier;Apartamento de 70 metros quadrados no bairro São Francisco Xavier com 2 quartos
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua São Paulo;Belo Horizonte - Apartamento Padrão - Centro
001630-J-RJ;REIS PRINCIPE ADMINISTRADORA;Rio de Janeiro;BR;Avenida Salvador Allende;Apartamento de 82 metros quadrados no bairro Recreio dos Bandeirantes com 3 quartos
027717-F-RJ;P&B Corretores;Rio de Janeiro;BR;normal;Rio de Janeiro - Apartamento Padrão - Leblon
26972-J-SP;Igor Almeida Imóveis;São Paulo;BR;Avenida Brigadeiro Luís Antônio;São Paulo - Apartamento Padrão - Bela Vista
17862-J-SP;GRUPO AGUIAR;Valinhos;BR;Rua Doutor Alfredo Zacharias;Valinhos - Apartamento Padrão - Vila Pagano
012480-J-SP;IMOBILIÁRIA BOM LAR;Limeira;BR;normal;Limeira - Apartamento Padrão - Jardim Ouro Verde
047250-F-RJ;JOSE LUIZ AZEVEDO;Rio de Janeiro;BR;Rua Alberto de Campos;Apartamento para aluguel possui 78 metros quadrados com 2 quartos em Ipanema - Rio de Janeiro - RJ
74867-F-SP;ImobiData Consultoria Imobiliária;São Paulo;BR;Rua João Pais;SãO PAULO - Apartamento Padrão - Santo Amaro
74867-F-SP;ImobiData Consultoria Imobiliária;São Paulo;BR;Rua João Pais;SãO PAULO - Apartamento Padrão - Santo Amaro
01141-J-MG;Lance Imobiliária Ltda;Belo Horizonte;BR;Rua Professor Jerson Martins;Belo Horizonte - Apartamento Padrão - Jaraguá
normal;Villaggio Imóveis;São José do Rio Preto;BR;normal;Apartamento para alugar, 148 m² por 1.500,00/mês - Centro - São José do Rio Preto/SP
515030-F-RJ;ESPINDOLA IMOBILIÁRIA;Rio de Janeiro;BR;Rua Marquês de Queluz;Apartamento com 3 quartos em Irajá - Rio de Janeiro - RJ
00037-J-SP;IMOBILIARIA DANELLI LTDA - EPP;Taubaté;BR;normal;Taubaté - Apartamento Padrão - Parque São Luís
05843-J-PR;MEU IMOVEL BARATO;Londrina;BR;normal;Londrina - Apartamento Padrão - Gleba Fazenda Palhano
8236-J-RJ;TERRAZO IMOVEIS;Teresópolis;BR;Rua Tietê;Teresópolis - Apartamento Padrão - Alto
015908-J-SP;JAIME ADMINISTRACAO DE BENS E CONDOMINIOS LTDA;São Paulo;BR;Rua Dona Antônia de Queirós;São Paulo - Apartamento Padrão - Higienópolis
70300-J-RJ;MARCOS CARVALHO IMÓVEIS LTDA ME;Rio de Janeiro;BR;Rua Uruguai;Apartamento para aluguel possui 44 metros quadrados com 1 quarto suíte-Tijuca - Rio de Janeiro - RJ
515030-F-RJ;ESPINDOLA IMOBILIÁRIA;Rio de Janeiro;BR;Rua São Francisco Xavier;Apartamento de 70 metros quadrados no bairro São Francisco Xavier com 2 quartos
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Osasco;BR;Avenida Bussocaba;Osasco - Apartamento Padrão - Vila Yara
047250-F-RJ;JOSE LUIZ AZEVEDO;Rio de Janeiro;BR;Rua Carlos Gois;Apartamento para aluguel tem 90 metros quadrados com 3 quartos em Leblon - Rio de Janeiro - RJ
28814-F-PR;EDUARDO DORIA;Rio de Janeiro;BR;Rua Padre Manso;RIO DE JANEIRO - Apartamento Padrão - Madureira
05843-J-PR;MEU IMOVEL BARATO;Londrina;BR;normal;Londrina - Apartamento Padrão - Aurora
105516-F-SP;EXEMPLAR IMÓVEIS;São Paulo;BR;Avenida Parada Pinto;São Paulo - Apartamento Padrão - Vila Nova Cachoeirinha
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua Marco Aurélio de Miranda;Belo Horizonte - Apartamento Padrão - Buritis
normal;RENATO NOGUEIRA ARAUJO GOES;Rio de Janeiro;BR;Estrada Adhemar Bebiano;Apartamento para aluguel tem 50 metros quadrados com 2 quartos em Del Castilho - Rio de Janeiro - RJ
03359-J-SP;IMOBILIARIA VILA GALVAO LTDA;Guarulhos;BR;normal;Guarulhos - Apartamento Padrão - Vila Milton
11888-J-GO;Desenrola - SP;São Paulo;BR;Rua Aurora;Código do anúncio: 32492
01372-J-RJ;CIPA - PARTICIPAÇÕES E ADMINISTRAÇÃO S/A;Rio de Janeiro;BR;Rua Uruguai;RIO DE JANEIRO - Apartamento Padrão - Tijuca
03011-J-MG;CORACAO EUCARISTICO IMOVEIS LTDA;Belo Horizonte;BR;normal;Belo Horizonte - Apartamento Padrão - Coração Eucarístico
normal;AUXILIADORA PREDIAL - ALUGUÉIS CENTRO;Porto Alegre;BR;Rua Castro Alves;Porto Alegre - Apartamento Padrão - Independência
normal;METROPOLIS BROKERS;São Caetano do Sul;BR;Rua São Jorge;São Caetano do Sul - Apartamento Padrão - Cerâmica
01873-J-MG;DELTA IMOVEIS E ADMINISTRACAO LIMITADA - EPP;Uberlândia;BR;normal;Uberlândia - Apartamento Padrão - Tubalina
01372-J-RJ;CIPA - PARTICIPAÇÕES E ADMINISTRAÇÃO S/A;Rio de Janeiro;BR;Rua Barata Ribeiro;RIO DE JANEIRO - Apartamento Padrão - COPACABANA
10771-F-MG;PHD Imóveis;Belo Horizonte;BR;normal;Belo Horizonte - Apartamento Padrão - Ouro Preto
04039-J-MG;Angelo Imóveis;Belo Horizonte;BR;Rua Ramalho Ortigão;Belo Horizonte - Apartamento Padrão - Santa Branca
27255-J-SP;RCA Negócios Imobiliários LTDA-ME;São Caetano do Sul;BR;Rua Silvia;SAO CAETANO DO SUL - Apartamento Padrão - OSVALDO CRUZ
29076-J-SP;DUT PRIME IMÓVEIS;Campinas;BR;normal;Campinas - Apartamento Padrão - Mansões Santo Antônio
164873-F-SP;CREONE DA SILVA SOARES;Barueri;BR;Avenida Copacabana;Barueri - Apartamento Padrão - Alphaville Industrial
27419-J-SP;Smero Imóveis Ltda - Me;São Paulo;BR;Avenida Escola Politécnica;São Paulo - Apartamento Padrão - Butantã
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Doutor João Gualberto de Oliveira;São Paulo - Apartamento Padrão - Vila Romano
normal;VINICIUS;Rio de Janeiro;BR;Rua Almirante Alexandrino;Santa Teresa, 145m, linda vista
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Avenida Aparecida do Rio Negro;São Paulo - Apartamento Padrão - Jardim Iris
8236-J-RJ;TERRAZO IMOVEIS;Teresópolis;BR;Rua Doutor Aleixo;Teresópolis - Apartamento Padrão - Várzea
73427-J-SP;Destak Imóveis;Jundiaí;BR;normal;Jundiaí - Apartamento Padrão - Jardim Carlos Gomes
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Rua Cristóvão de Alencar;Rio de Janeiro - Apartamento Padrão - Recreio
03703-J-PR;Imobiliária Santamérica;Londrina;BR;Rua Brasil;LONDRINA - Apartamento Padrão - Centro
168895-F-SP;THIAGO CHODRAUI ARAUJO DE VASCONCELLOS;Ribeirão Preto;BR;normal;Apartamento residencial para venda e locação, Sumarezinho, Ribeirão Preto.
00932-J-BA;Itaigara Imóveis Ltda EPP;Salvador;BR;Avenida Tancredo Neves;Salvador - Apartamento Padrão - Caminho das Árvores
164873-F-SP;CREONE DA SILVA SOARES;Barueri;BR;Alameda Grajaú;Barueri - Apartamento Padrão - Alphaville Industrial
00254-J-SC;San Remos Imóveis;Florianópolis;BR;Rua Afonso Pena;Florianópolis - Apartamento Padrão - Estreito
031436-J-SP;Quadra Realty;São Paulo;BR;Rua Baluarte;São Paulo - Apartamento Padrão - Vila Olímpia
04177-J-PR;Imobiliaria Prates LTDA;Curitiba;BR;Avenida Visconde de Guarapuava;CURITIBA - Apartamento Padrão - Batel
22850-J-RS;ALBERT PATRIMONIAL - ADMINISTRAÇÃO E LOCAÇÃO DE IMÓVEIS LTDA - ME;Porto Alegre;BR;Avenida Andaraí;PORTO ALEGRE - Apartamento Padrão - PASSO D AREIA
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua Teodomiro Cruz;Belo Horizonte - Apartamento Padrão - São Lucas
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Joaquim Antunes;São Paulo - Apartamento Padrão - Pinheiros
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua Gustavo Ladeira;Belo Horizonte - Apartamento Padrão - Paquetá
17181-F-RJ;LIGUE IMÓVEIS;Rio de Janeiro;BR;Avenida Olof Palme;Apartamento para aluguel com 64 metros quadrados com 2 quartos em Camorim - Rio de Janeiro - RJ
00932-J-BA;Itaigara Imóveis Ltda EPP;Salvador;BR;Avenida Tancredo Neves;Salvador - Apartamento Padrão - Caminho das Árvores
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Carvalho de Freitas;São Paulo - Apartamento Padrão - Vila Andrade
00725-J-CE;FIDUCIAL CAFRE NEGOCIOS IMOBILIARIOS LTDA - EPP;Fortaleza;BR;Rua João Nogueira Borges;APARTAMENTO - PRAIA DO FUTURO - RUA JOÃO NOGUEIRA BORGES, 290 APT 302 ED MARSEILLE - Aproximadamente
19162-F-RS;CONECTA IMOBILIÁRIA;Porto Alegre;BR;Avenida Alcides Maia;Porto Alegre - Apartamento Padrão - Sarandi
18568-J-SP;GV Soluções Imobiliárias;Sumare;BR;Rua Justino Franca;Sumaré - Apartamento Padrão - Centro
03459-J-SC;ABVALE IMÓVEIS LTDA.;Blumenau;BR;Rua Canário;Blumenau - Apartamento Padrão - Agua Verde
47120-J-RJ;PROTEL ADMINISTRAÇÃO HOTELEIRA LTDA;Rio de Janeiro;BR;Avenida Geremário Dantas;RIO DE JANEIRO - Apartamento Padrão - FREGUESIA (JACAREPAGUA)
22671-J-SP;BONON e AMARAL IMÓVEIS;Campinas;BR;Rua Major Solon;Campinas - Apartamento Padrão - Cambui
20264-J-RS;ACEMIL EMPREENDIMENTOS IMOBILIARIOS LTDA - ME;Porto Alegre;BR;Rua Veador Porto;PORTO ALEGRE - Apartamento Padrão - SANTANA
20220-J-SP;MAIA IMOVEIS;São Caetano do Sul;BR;normal;SAO CAETANO DO SUL - Apartamento Padrão - Santo Antônio
29121-J-SP;Chama Imobiliária;Limeira;BR;normal;Limeira - Apartamento Padrão - Jardim Esmeralda
03703-J-PR;Imobiliária Santamérica;Londrina;BR;Rua Pio XII;LONDRINA - Apartamento Padrão - Centro
19663-J-SP;NBI IMOVEIS;São José do Rio Preto;BR;Rua Penita;SAO JOSE DO RIO PRETO - Apartamento Padrão - VILA IMPERIAL
02941-J-PR;GALMO IMOBILIÁRIA;Londrina;BR;Rua Jorge Velho;LONDRINA - Apartamento Padrão - Vila Larsen 1
normal;Juarez Garcia Feitosa;Rio de Janeiro;BR;Estrada do Vidigal;Apartamento de 60 metros quadrados no bairro Vidigal com 1 quarto
29139-J-SP;TRIUNFAI IMÓVEIS;Votorantim;BR;normal;Votorantim - Apartamento Padrão - Alpha Club Residencial
20046-J-SP;Aqui Ribeirão Imóveis;Ribeirão Preto;BR;normal;Ribeirão Preto - Apartamento - Jardim Botânico
05207-J-RJ;By Three Administração de Bens Ltda.;Rio de Janeiro;BR;Rua Desembargador Izidro;Apartamento de 98 metros quadrados no bairro Tijuca com 3 quartos
03009-J-MG;BEAGA EMPRENDIMENTOS;Belo Horizonte;BR;Rua Santa Catarina;Belo Horizonte - Apartamento Padrao - LOURDES
05222-J-MG;BH BROKERS;Belo Horizonte;BR;Rua Professor Moraes;BELO HORIZONTE - Apartamento Padrão - Funcionários
34599-J-SP;Doma Imobiliária;Americana;BR;normal;Americana - Apartamento Padrão - Centro
normal;INL ADMINISTRAÇÃO DE BENS LTDA - ME;São Paulo;BR;normal;São Paulo - Apartamento Padrão - Vila Gustavo
20020-J-SP;START NEGOCIOS IMOBILIARIOS LTDA - ME;Campinas;BR;Avenida Imperatriz Leopoldina;Campinas - Apartamento Padrão - Vila Nova
004597-J-RJ;JBV LOCACAO DE IMOVEIS LTDA - ME;Rio de Janeiro;BR;Rua Gomes Carneiro;EXCELENTE APTO 01 QUARTO IPANEMA
164873-F-SP;CREONE DA SILVA SOARES;Barueri;BR;Alameda Itapecuru;Barueri - Apartamento Padrão - Alphaville Comercial
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Marcus Pereira;São Paulo - Apartamento Padrão - Portal do Morumbi
27466-J-SP;ISF IMÓVEIS;Osasco;BR;Avenida Presidente João Goulart;Osasco - Apartamento Padrão - Umuarama
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Rubem de Souza;São Paulo - Apartamento Padrão - Jardim Marajoara
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Doutor Plínio Barreto;São Paulo - Apartamento Padrão - Bela Vista
25225-J-SP;Remax City Jundiaí;Jundiaí;BR;normal;Jundiaí - Apartamento Padrão - Engordadouro
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Brasília;BR;Setor SAGOCA;Brasília - Apartamento Padrão - Taguatinga
29839-J-SP;RUMO EMPREENDIMENTOS IMOBILIARIOS LTDA - EPP;Campinas;BR;normal;Apartamento de 66 metros quadrados no bairro Jardim Boa Esperança com 2 quartos
25618-J-SP;Sh Prime Imóveis;São Paulo;BR;Rua Tito;São Paulo - Apartamento Padrão - Vila Romana
07072-J-ES;Sarlo Imóveis;Vitória;BR;normal;Apartamento residencial para locação, Jardim Camburí, Vitória, Lazer, Completo, Melhor
70524-F-RJ;BRICK IMOBILIARIA EIRELI - EPP;Teresópolis;BR;normal;TERESÓPOLIS - Apartamento Padrão - ALTO
03444-J-SP;LUPA ADMINISTRADORA E IMOBILIARIA S/S LTDA - EPP;São Paulo;BR;Rua André da Fonseca;São Paulo - Apartamento Padrão - Jardim Japão
04308-J-RJ;STYLLUS - Locação;Rio de Janeiro;BR;Rua Coração de Maria;RIO DE JANEIRO - Apartamento Padrão - CACHAMBI
11296-J-SP;Torre Empreendimentos Imobiliários LTDA;Campinas;BR;Rua Monsenhor Agnaldo José Gonçalves;Campinas - Apartamento Padrão - Vila Proost de Souza
normal;CORRETOR RF;Rio de Janeiro;BR;Avenida Geremário Dantas;Apartamento de 53 metros quadrados no bairro Pechincha com 2 quartos
26697-J-SP;UNIDOS NEGÓCIOS IMOBILIÁRIOS EIRELI - ME;São José do Rio Preto;BR;normal;Apartamento com 2 dormitórios para alugar, 48 m² por 850,00/mês - Residencial Cidade Jardim - São
06230-J-PR;S Home Empreendimentos Imobiliários;Curitiba;BR;Rua Professor Pedro Viriato Parigot de Souza;Curitiba - Apartamento Padrão - Ecoville
30184-F-RJ;ADAK IMÓVEIS COPACABANA;Rio de Janeiro;BR;Rua Figueiredo Magalhães;Apartamento para aluguel com 90 metros quadrados com 2 quartos em Copacabana - Rio de Janeiro - RJ
13485-J-SP;Practical;São Paulo;BR;Rua Berto Conde;São Paulo - Apartamento Padrão - São Judas
057449-F-RJ;LS Imóveis Rio;Rio de Janeiro;BR;Rua Inhanga;Apartamento para aluguel com 82 metros quadrados com 2 quartos em Copacabana - Rio de Janeiro - RJ
03751-J-PR;Basi Assessoria Imobiliária;Curitiba;BR;Avenida Paraná;Apartamento com 1 quarto para alugar por 1300.00, 42.52 m2 - CABRAL - CURITIBA/PR
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Doutor Cesário Mota Júnior;São Paulo - Apartamento Padrão - Santa Cecília
normal;SOCIEDADE SUL COMÉRCIO IMOBILIÁRIO;Curitiba;BR;Rua Almirante Tamandaré;CURITIBA - Apartamento Padrão - JUVEVE
164873-F-SP;CREONE DA SILVA SOARES;Barueri;BR;Alameda Itapecuru;Barueri - Apartamento Padrão - Alphaville Comercial
26533-J-SP;ROSANA IMOVEIS RIO PRETO;São José do Rio Preto;BR;Rua Antônio Frederico Ozanan;Apartamento para alugar Vila Redentora São José do Rio Preto
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Bernardo do Campo;BR;Rua Brasílio Machado;São Bernardo do Campo - Apartamento Padrão - Nova Petrópolis
25618-J-SP;Sh Prime Imóveis;São Paulo;BR;Rua Tito;São Paulo - Apartamento Padrão - Vila Romana
07072-J-ES;Sarlo Imóveis;Vitória;BR;normal;Apartamento residencial para locação, Jardim Camburí, Vitória, Lazer, Completo, Melhor
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua Geraldina Cândida de Jesus;Belo Horizonte - Apartamento Padrão - Ouro Preto
92329-F-SP;Rase Imóveis;São Paulo;BR;Rua José da Silva Ribeiro;São Paulo - Apartamento Padrão - Vila Andrade
08794-J-SP;Imobiliária Coelho & Lima;São Paulo;BR;Alameda Franca;São Paulo - Apartamento Padrão - Jardins
75127-F-RJ;Vanda Patrícia Aenlhe Corrêa Schroeder;Rio de Janeiro;BR;Avenida Oswaldo Cruz;APARTAMENTO PARA ALUGAR COM VISTA PARA O ATERRO DO FLAMENGO
32313-J-SP;LOPES OSASCO;São Paulo;BR;Rua Cônego Vicente Miguel Marino;São Paulo - Apartamento Padrão - BARRA FUNDA
22850-J-RS;ALBERT PATRIMONIAL - ADMINISTRAÇÃO E LOCAÇÃO DE IMÓVEIS LTDA - ME;Porto Alegre;BR;Rua Roque Calage;PORTO ALEGRE - Apartamento Padrão - PASSO D AREIA
5322-J-RJ;PREDIAL IMÓVEIS;Niterói;BR;normal;Niterói - Apartamento Padrão - Icaraí
03214-J-MG;MIRIAN DAYRELL IMÓVEIS;Belo Horizonte;BR;normal;Belo Horizonte - Apartamento Padrão - Buritis
03459-J-SC;ABVALE IMÓVEIS LTDA.;Blumenau;BR;normal;Blumenau - Apartamento Padrão - Boa Vista
10179-J-SP;PROVECTUM IMÓVEIS;Campinas;BR;Rua Major Solon;Campinas - Apartamento Padrão - Cambuí
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Avenida Ministro Petrônio Portela;São Paulo - Apartamento Padrão - Freguesia do Ó
25949-J-SP;NSK3 NEGÓCIOS IMOBILIÁRIOS LTDA;São Paulo;BR;Rua Carlos Alberto Vanzolini;São Paulo - Apartamento Padrão - Vila dos Remédios
13018-F-MG;FLAVIO REIS NEGOCIOS IMOBILIARIOS EIRELI;Belo Horizonte;BR;Rua Junquilhos;Apartamento de 70 metros quadrados no bairro Gameleira com 3 quartos
normal;Brognoli Digital;Florianópolis;BR;Rua Nivaldo Dias;FLORIANÓPOLIS - Apartamento Padrão - CAMPECHE
normal;Natalia Pattaro;São Paulo;BR;Rua Gomes de Carvalho;HOUSI DUPLEX - GOMES DE CARVALHO
normal;LIGUE IMÓVEIS;São Paulo;BR;Avenida Professor José Maria Alkmin;Apartamento de 62 metros quadrados no bairro Jardim Ester com 2 quartos
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Santo André;BR;Rua Bari;Santo André - Apartamento Padrão - Vila Metalúrgica
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Berto Conde;São Paulo - Apartamento Padrão - Saúde
030106-J-SP;Gallo Imobiliária Ltda;Vinhedo;BR;Rua Miguel Ferragut;Vinhedo - Apartamento Padrão - Pinheirinho
normal;AM Cardoso Imóveis;Porto Alegre;BR;Rua Marco Polo;Apartamento de 75 metros quadrados no bairro Cristo Redentor com 2 quartos
00137-J-PR;Gonzaga Imóveis;Curitiba;BR;Rua Engenheiro Niepce da Silva;CURITIBA - Apartamento Padrão - Portao
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua da Chibata;São Paulo - Apartamento Padrão - Vila Andrade
26070-J-SP;OFF IMÓVEIS NEGÓCIOS IMOBILIÁRIOS LTDA ME;Campinas;BR;Avenida Imperatriz Leopoldina;Campinas - Apartamento Padrão - Vila Nova
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Porto Alegre;BR;Rua Pedro Chaves Barcelos;Porto Alegre - Apartamento Padrão - Auxiliadora
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Professor Picarolo;São Paulo - Apartamento Padrão - Bela Vista
